"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.000161185526402313,0.00484472872464983,0.0469193474152528,0.00153550039752175,0.216662855217258,0.00342659729063975,0.212301813812102,0.00010913729388819,0.9485,0.00494205169944629
"X2",-0.00828637013853568,0.00492631347993354,0.0485815243707201,0.001558435381011,0.220311436392099,0.00348430085203635,0.214688572330034,0.000123714846143561,0.9485,0.00494205169944629
"X3",0.000165478500643693,0.0046113381259352,0.0425076415672295,0.00139189512967235,0.206225310336552,0.00326152394212649,0.207415632824547,8.34581756579815e-05,0.95,0.00487339717240448
"X4",-0.00104822712548578,0.00471878476197409,0.0445126911101545,0.00138566673920068,0.211030469979285,0.00333751918827225,0.209390940498643,9.9052085557365e-05,0.9465,0.00503178646208283
"X5",-0.00639398166063677,0.00488891503688574,0.0478199619870136,0.00152503696084027,0.218638927173948,0.00345784954569803,0.212800890499405,0.000109149288100887,0.943,0.00518415856238985
"X6",-0.00522333788207937,0.00472854253759827,0.0447231532038531,0.00144466210240479,0.211466850971382,0.00334442070317986,0.214814251006032,0.000124270486442355,0.95,0.00487339717240448
"X7",-0.000678761609591211,0.00458918585654241,0.0421006537422746,0.00129205891861656,0.205234630732189,0.00324585600474609,0.207555295402939,8.49135796864286e-05,0.954,0.00468422885862764
"X8",0.000572261868883939,0.00462446163473827,0.0427502326605677,0.00138724524853297,0.206812211492291,0.00327080598499495,0.209608014276528,9.89742365650963e-05,0.953,0.00473238840333293
"X9",-0.00385969489307267,0.00501685883428012,0.0503274734982934,0.0016584390698257,0.224360747739414,0.00354834209841313,0.213404876728268,0.000115588580183094,0.9385,0.00537204569973116
"X10",-0.00354728090172052,0.00474695920357013,0.0450572929408336,0.00141687048667511,0.212290469312021,0.00335744650943413,0.215404446073826,0.0001211576031702,0.9525,0.00475624589355933
"X11",-0.000549528883599421,0.00471741562297949,0.0444860682916959,0.00145474592070708,0.210969240222033,0.00333655081868212,0.207745951447945,8.6808182234675e-05,0.9495,0.00489641450451246
"X12",-0.00485947490770693,0.00466612044899768,0.0435472019054428,0.00141949429135066,0.208675250303213,0.00330027058212426,0.209912227516815,9.72332590177708e-05,0.9565,0.00456112650559048
