"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.00748503015342239,0.0047468707446484,0.0450990566273289,0.00140372495861473,0.212286513308777,0.00335738394388738,0.214621772117232,0.000116998206717546,0.9545,0.00465992220965114
"X2",-0.000265556406557948,0.00474517696799258,0.045010962730882,0.00145262268649645,0.212210765313955,0.00335618596339566,0.21213628995657,0.000110990086994237,0.952,0.00477995815881269
"X3",-0.00821935131157623,0.00467605714608378,0.043776713092432,0.00139788886566821,0.20911963290634,0.0033072986452519,0.209508499716229,9.26651864990835e-05,0.948,0.00496467521596328
"X4",0.0026404265968412,0.00465538624099716,0.0433305413372917,0.00132380759704248,0.208195201927737,0.00329267845258672,0.207156574596341,8.32497964331577e-05,0.952,0.00477995815881269
"X5",0.000975346849978987,0.00482830133974893,0.0466026264624931,0.00144059906419529,0.215928200230639,0.00341497847031091,0.214892808141478,0.000124118642998381,0.949,0.00491929873051028
"X6",-0.00106702535694234,0.00485203489238993,0.0470620814944542,0.00149621451247043,0.216989596971695,0.00343176482343799,0.212436508671181,0.000112201157688791,0.9495,0.00489641450451246
"X7",-0.0049366226703882,0.00475543162281315,0.0452300159519732,0.00145134196933749,0.212669367419247,0.00336343891282209,0.209705745578709,9.20904021293204e-05,0.951,0.00482695556225661
"X8",-0.00484118482101836,0.00463705144432851,0.0430064270190722,0.00140711886899106,0.207375244893643,0.00327971055114994,0.207361248058275,8.63486054503371e-05,0.948,0.00496467521596328
"X9",-0.00532821104807056,0.00483234506812112,0.0467081559889044,0.00145961734765727,0.216109041261094,0.00341783853316927,0.215470224885841,0.000121288797842157,0.9475,0.00498717104178311
"X10",-0.000923107436027156,0.00474309128428052,0.0449721850744431,0.00152403699900493,0.212117490702761,0.00335471079346086,0.212761895420794,0.000109788152876529,0.9515,0.00480352734977121
"X11",-0.000463326468323286,0.00464488713328495,0.0431285926568474,0.00143547133704522,0.207725667556785,0.00328525260563316,0.209792727425814,9.22144832329712e-05,0.954,0.00468422885862764
"X12",0.000308862446526611,0.00483797799888732,0.0467887516003286,0.00139885025220017,0.216360953583209,0.00342182261285646,0.207505115043709,8.62074965533797e-05,0.945,0.00509779364038993
