"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.0431647651015344,0.00873074986766818,0.154238957456595,0.00497047955807381,0.390451003973067,0.00617511640839447,0.381415386568779,0.000697094930774095,0.945,0.00509779364038993
"X2",-0.0240949458096631,0.00743064498604811,0.110954321746026,0.0038105361774523,0.332308546109431,0.00525557351588115,0.33447147522432,0.000664599929902506,0.952,0.00477995815881269
"X3",-0.0055857074260451,0.00820837759040262,0.134718747998031,0.00433335071563374,0.367089805542524,0.00580565105094809,0.367466280737668,0.000599775251935113,0.949,0.00491929873051028
"X4",-0.0193882642705072,0.00730915270675866,0.107169907659567,0.00339043391570476,0.326875246204779,0.0051696440162729,0.322770913510204,0.000577378319283104,0.9525,0.00475624589355933
"X5",-0.0438283463143767,0.00850474208466014,0.146509869155905,0.00481379321634552,0.380343628648067,0.00601526480453097,0.385305214374342,0.000751794163411805,0.952,0.00477995815881269
"X6",-0.0331645117822097,0.00752687849102118,0.114351030579128,0.00381801523350947,0.336612239286088,0.00532363789804805,0.336635205819305,0.000669313887013919,0.9495,0.00489641450451246
"X7",-0.0133914553648738,0.00830621311655516,0.138096690575718,0.00457331234113294,0.371465143284355,0.00587484851646085,0.370414861170492,0.00062683598524233,0.9415,0.0052477495176504
"X8",-0.018561026311252,0.00718133701599064,0.103436142770865,0.0031510262780407,0.321159154741811,0.00507924207127678,0.323821420448527,0.000590441345853317,0.957,0.00453602248671675
"X9",-0.043937812218461,0.00860026318699335,0.149785620586765,0.00506175990255874,0.384615462210122,0.00608282531597685,0.390481699402249,0.000756039175624227,0.9565,0.00456112650559048
"X10",-0.0341507599546752,0.00749610218940401,0.113493178925423,0.00360887769599888,0.335235881235848,0.00530187032390076,0.34039470204739,0.000716423131802367,0.955,0.00463546114210873
"X11",-0.0208539160003853,0.0082399275014903,0.136159799866954,0.00444373451337051,0.368500760460046,0.00582796578640539,0.372796462735584,0.000631691416671374,0.954,0.00468422885862764
"X12",-0.0120966087602227,0.0072689671054663,0.10576925562142,0.00353189745623809,0.325078091480651,0.00514122139855016,0.325879325007911,0.000603296155061934,0.9545,0.00465992220965114
