"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.00311364667430048,0.00474067608504749,0.0449352402725515,0.0014456224990405,0.212009479709475,0.00335300256259416,0.210660042450216,0.000113460174791931,0.954,0.00468422885862764
"X2",-0.000121915881344429,0.00465201499661905,0.0432608606774905,0.00136256230621796,0.208044435295773,0.00329029402664491,0.208676053777647,0.000106475063330859,0.946,0.00505390937789747
"X3",-0.00300009452029685,0.00471933762235514,0.0445310236070903,0.00144656668696529,0.211055194647167,0.00333791021736624,0.206835887035557,9.31924825800525e-05,0.946,0.00505390937789747
"X4",0.00800510213373703,0.00466889265624397,0.0436394003725938,0.00139730930719551,0.208799227180222,0.00330223131891245,0.204696873923385,8.83773759105893e-05,0.948,0.00496467521596328
"X5",-0.00253098424360665,0.0047491304555288,0.04509233180842,0.00140331998745579,0.212387570651539,0.00335898220038851,0.211583732299485,0.000113406429896254,0.95,0.00487339717240448
"X6",0.00204117248323648,0.00470456090744376,0.0442478201554707,0.00141649631265286,0.210394359866647,0.00332745888888994,0.209613897760482,0.000112717333819646,0.9515,0.00480352734977121
"X7",0.00467225496762947,0.00467934533186407,0.0437924791634239,0.00139045695992993,0.209266685044888,0.00330962432520763,0.207325455054323,9.83056576758582e-05,0.9445,0.00511955808639769
"X8",0.00131778167372439,0.00445010156482689,0.0395887410191518,0.00121929747273243,0.199014592114622,0.00314748396283214,0.205123305616123,9.13136017481028e-05,0.959,0.00443390347211123
"X9",-0.00468907559847059,0.00490133192505862,0.0480440736545262,0.00152347977369953,0.219194227294419,0.00346663180736624,0.214239503726952,0.000128864641541078,0.9475,0.00498717104178311
"X10",-0.00842020840316757,0.00486684302870877,0.047419535880669,0.00147209652491205,0.217651836960275,0.00344223837576124,0.211917335398779,0.000121221800864257,0.9455,0.00507591124823908
"X11",-0.00123083522724892,0.00475642354765451,0.0452260213197567,0.00146474418884163,0.212713727646724,0.00336414048501882,0.208100677818911,9.9864083972847e-05,0.946,0.00505390937789747
"X12",0.00632658095296568,0.00465723806854048,0.0433980686142526,0.00139326509224808,0.208278018173127,0.00329398821988296,0.206120400043131,9.60083863335074e-05,0.9505,0.0048502448391808
