"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.00302098774465217,0.00321686000038176,0.0206951547028036,0.000640413645338538,0.143862352699072,0.0022752323996164,0.14332021288094,0.000114172064025191,0.947,0.0050095408971282
"X2",-0.00802953255070534,0.00379662169120748,0.028878731589011,0.000947142174397966,0.169790083727803,0.00268528834947637,0.162975093566878,0.000135701347902017,0.9455,0.00507591124823908
"X3",0.00149832352034157,0.00317290244556273,0.0201267975215584,0.000616515512306388,0.141896511085072,0.00224414194093299,0.138905018635098,0.000107323800926692,0.9435,0.00516273909857936
"X4",-0.00228250613032754,0.00358422866230612,0.0256857533465248,0.000809301047677961,0.160291578716393,0.00253506623824004,0.157841491263711,0.000122206865989944,0.942,0.00522666241496426
"X5",-0.00269141552334714,0.00320441858388787,0.0205335723405904,0.00063055902864544,0.143305955638738,0.00226643278946841,0.143990451938395,0.000117292767932548,0.9515,0.00480352734977121
"X6",-0.0065788637332058,0.00357992106900916,0.0256621353338312,0.000784554353518965,0.160098937287764,0.00253201954804138,0.164007876665498,0.000138378125902897,0.9575,0.00451075104611194
"X7",-0.00139600464418956,0.00308269798659674,0.0189984995552252,0.000601289337098784,0.137862445042641,0.00218034180427646,0.139226560483134,0.000103485306166478,0.9565,0.00456112650559048
"X8",-0.00443580920907148,0.00344876717587985,0.0237957724751584,0.000737554186396735,0.154233556876746,0.00243925654718085,0.158711376455728,0.000123822223761796,0.956,0.00458606585212206
"X9",-0.000595993082524892,0.00320951045015651,0.0205919689097525,0.000665448549385389,0.143533670820918,0.00227003418309684,0.145264363730691,0.000121052743690292,0.9495,0.00489641450451246
"X10",-0.0132784664057475,0.00382860818343302,0.029478140673967,0.000922918989627412,0.171220563147365,0.00270791187162311,0.166697849895705,0.000147750250738397,0.9445,0.00511955808639769
"X11",-0.00229566085524687,0.00311407427476458,0.0193904897776747,0.000628801235070617,0.139265635307139,0.00220253373908578,0.139853569789583,0.00010469015806307,0.9505,0.0048502448391808
"X12",-0.00390725949168934,0.00351043492339016,0.0246492502260986,0.000784842233348269,0.156991422385793,0.00248287313513623,0.160219486134897,0.000129196491300382,0.9555,0.00461084319837489
