"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.00180543432089161,0.00368226880419989,0.0271079075823081,0.000882015903558576,0.164676067152356,0.00260440842511582,0.162845768294217,0.000133453152769251,0.944,0.00514120608417908
"X2",-0.00392173779094817,0.00323211382804885,0.0208980530624327,0.000663379546580437,0.144544524610686,0.00228602118213171,0.142997861505111,0.000116127815437833,0.9405,0.00528960064655168
"X3",-0.000768108302912072,0.00353122598921737,0.0249272344072265,0.000777280013158847,0.15792122711608,0.0024975783155255,0.158035825570085,0.000120439433070196,0.9515,0.00480352734977121
"X4",0.0048183808816168,0.0031792573726919,0.0202284640005101,0.00064273011716179,0.142180712066129,0.00224863667682444,0.138873456483835,0.000103250959379982,0.9475,0.00498717104178311
"X5",-0.00278913784545541,0.00368512971029146,0.0271545610722849,0.000839782512078835,0.164804010762316,0.00260643189714476,0.16420246690749,0.000135875503279403,0.954,0.00468422885862764
"X6",-0.00268468619730848,0.00330083797779696,0.0217873747199558,0.00072552224055753,0.147617962021339,0.00233462864783567,0.143892072100123,0.000120463473179953,0.944,0.00514120608417908
"X7",0.00322631136285554,0.0035371532262952,0.0250208035246449,0.00080700865235787,0.158186301216575,0.0025017705532474,0.15865379070513,0.000123767802229005,0.9545,0.00465992220965114
"X8",0.00109010613030041,0.00314076402483914,0.0197201212521631,0.000673742845715214,0.140459237216523,0.00222141096224753,0.139032307588114,0.000109119056992962,0.9445,0.00511955808639769
"X9",-0.00321632846417191,0.0036971356971872,0.0273343006832578,0.000841899074454107,0.165340934819033,0.00261492353506849,0.16657974823231,0.000142504635610164,0.955,0.00463546114210873
"X10",-0.00720646645792494,0.00325689815795764,0.0212560969958137,0.000667277670424571,0.145652913539743,0.00230355073281299,0.145429630008008,0.00011785030568728,0.951,0.00482695556225661
"X11",-0.00183749555301942,0.00351924217178058,0.0247611222517216,0.00077547573167912,0.157385294507708,0.00248910235769705,0.159812895968777,0.000126299756188527,0.955,0.00463546114210873
"X12",-0.00295333558765437,0.00314066957108654,0.0197264690952364,0.000602249782128153,0.140455013116292,0.00222134415665507,0.139734580650147,0.00011008324087229,0.946,0.00505390937789747
