"","bias","bias_mcse","MSE","MSE_mcse","empSE","empSE_mcse","modSE","modSE_mcse","coverage","coverage_mcse"
"X1",-0.0250843186815125,0.00748393484329276,0.11259177524028,0.00375263692399592,0.334691740975637,0.00529326455924629,0.335079833955368,0.000634501798865086,0.9545,0.00465992220965114
"X2",-0.0286835771606703,0.00856064475039054,0.147318740044968,0.00484094290813958,0.382843671861999,0.00605480384455125,0.380658569251964,0.000722364850319128,0.945,0.00509779364038993
"X3",-0.0217052198280701,0.00718846680169834,0.103767552431064,0.00318445711353124,0.32147800845196,0.00508428485195189,0.322960413765354,0.000555326081361135,0.949,0.00491929873051028
"X4",-0.0118454780148518,0.00822562593603403,0.135394498506472,0.00429443550824773,0.367861175009149,0.00581785052335774,0.367749892983973,0.00063292912476933,0.9485,0.00494205169944629
"X5",-0.0301163153541207,0.00757644506878929,0.115654629691392,0.00374319458529007,0.338828924032119,0.00535869552681111,0.337523855597828,0.000667745018436013,0.9515,0.00480352734977121
"X6",-0.0360709244323805,0.00853739799127724,0.147002553347874,0.00471416113762581,0.381804045189321,0.00603836179251467,0.384249314723091,0.000732383987903603,0.9535,0.00470838348055891
"X7",-0.00516075413072812,0.00714940879480212,0.10220361156747,0.00349844768766792,0.319731281282248,0.00505665976328028,0.323631684438519,0.000571124789442466,0.955,0.00463546114210873
"X8",-0.0132803928646904,0.00825468974767866,0.136388034592672,0.0043165670057763,0.369160948179601,0.00583840688139084,0.368734866723309,0.000635038396880732,0.951,0.00482695556225661
"X9",-0.0228518868354559,0.00765497848434087,0.117661001227788,0.00413408688406547,0.34234104514569,0.00541424092558329,0.341213614813777,0.000729610529164313,0.949,0.00491929873051028
"X10",-0.0470608511344525,0.00868254532572147,0.152912523782581,0.00492003648979676,0.388295231320725,0.00614102212526346,0.391511067724512,0.000774600170417079,0.955,0.00463546114210873
"X11",-0.0149304140816978,0.00753542610966054,0.113731427926304,0.00392661284937831,0.336994500412555,0.00532968348873757,0.32757738512502,0.000623348563168773,0.9465,0.00503178646208283
"X12",-0.0283230928146043,0.0082404411557873,0.136544033600129,0.00457791014817262,0.368523731778547,0.00582832908567817,0.373008786504903,0.000653114337943953,0.952,0.00477995815881269
